year,make,model,stock_number,is_new,vin,exterior_color,interior_color,engine_cylinders,doors,transmission,invoice_amount,selling_price,trim,epa_city,epa_highway,fuel_type,drive_train,transmission_description,msrp,miles,vehicle_description,certified,epa_unit,shorten_vdp_url
2021,Chevrolet,Tahoe,719982C,FALSE,1GNSKSKD5MR168692,Satin Steel Metallic,Jet Black,8,4,Automatic,67984,71995,4WD 4dr Premier,16,20,Gasoline Fuel,Four Wheel Drive,Automatic,73995,25667,"CARFAX One-Owner. Satin Steel Metallic 2021 Chevrolet Tahoe Premier 4WD 10-Speed Automatic with Overdrive EcoTec3 5.3L V8 Factory Certified, 15 Diagonal Multi-Color Head-Up Display, 1st & 2nd Row Color-Keyed Carpeted Floor Mats, 2 USB Data Ports, 20 x 9 Polished Aluminum Wheels, 2-Speed Active Electronic AutoTrac Transfer Case, 3rd Row 60/40 Power-Folding Split-Bench Seat, Adaptive Cruise Control, Advanced Trailering Package, Advanced Trailering System, Auto-Dimming Inside Rear-View Mirror, Automatic Heated Steering Wheel, Automatic temperature control, Bright Front & Rear Door Sill Plates, Chrome Door Handles w/Body-Color Strip, Chrome Mirror Caps, Color-Keyed Carpeting Floor Covering, Driver & Front Outboard Passenger Airbags, Dual Exhaust System, Dual-Pane Power Panoramic Sunroof, Enhanced Automatic Emergency Braking, Enhanced Display & Alert Package, Enhanced Driver Information Center, Extra Capacity Cooling System, Floor Console w/Storage Area, Front & Rear Park Assist, Hands-Free Rear Power Programmable Liftgate, HD Radio, HD Surround Vision, Heated 2nd Row Outboard Seats, Hill Descent Control, Hitch Guidance w/Hitch View, Infotainment Display, Inside Rearview Auto-Dimming Rear Camera Mirror, Integrated Trailer Brake Controller, Lane Change Alert w/Side Blind Zone Alert, Lane Keep Assist w/Lane Departure Warning, Leather-Wrapped Steering Wheel, LED Daytime Running Lamps, Max Trailering Package, Memory Settings, Navigation System, Outside Heated Power-Adjustable Mirrors, Power Release 2nd Row Bucket Seats, Power Tilt & Telescopic Steering Column, Preferred Equipment Group 1LZ, Premium Package, Rear Camera Mirror Washer, Rear Cross Traffic Alert, Rear Pedestrian Alert, Remote Start, Safety Alert Seat, SiriusXM NavTraffic, SiriusXM Radio w/360L, Trailer Side Blind Zone Alert, Universal Home Remote.Recent Arrival! Odometer is 5351 miles below market average!Awards:* JD Power Automotive Performance, Execution and Layout (APEAL) Study * ALG Residual ValueIf you have any questions or would like s",FALSE,MPG,NULL
2022,Chevrolet,Camaro,719943C,FALSE,1G1FA1RS4N0129604,Black,Jet Black,4,2,Manual,28447,28945,2dr Cpe 1LT,18,29,Gasoline Fuel,Rear Wheel Drive,Manual,33995,9858,"CARFAX One-Owner. Clean CARFAX. Black 2022 Chevrolet Camaro 1LT RWD 6-Speed Manual 3.6L V6 DI Factory Certified, Apple CarPlay/Android Auto, Automatic temperature control, Exterior Parking Camera Rear, Preferred Equipment Group 1LT, Premium audio system: Chevrolet Infotainment System, Telescoping steering wheel, Tilt steering wheel.Recent Arrival! Odometer is 12169 miles below market average! 16/26 City/Highway MPGIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.",FALSE,MPG,NULL
2023,Chevrolet,Silverado 2500HD,720035,FALSE,1GC4YREY3PF129063,Summit White,Jet Black,8,4,Automatic,78056,87995,"4WD Crew Cab 159"" High Country",0,0,Diesel Fuel,Four Wheel Drive,Automatic,89995,5370,,FALSE,,NULL
2023,Chevrolet,Traverse,720022C,FALSE,1GNERKKW4PJ188946,Summit White,Jet Black,6,4,Automatic,47571,49995,FWD 4dr Premier,18,27,Gasoline Fuel,Front Wheel Drive,Automatic,51995,10735,"CARFAX One-Owner. Clean CARFAX. Summit White 2023 Chevrolet Traverse Premier FWD 9-Speed Automatic 3.6L V6 SIDI VVT **CARFAX 1 OWNER **, **CLEAN CARFAX**, Factory Certified.Recent Arrival! 18/27 City/Highway MPGIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.",FALSE,MPG,NULL
2023,Chevrolet,Silverado 1500,C23247,TRUE,3GCPABEK3PG174930,Summit White,Jet Black,4,4,Automatic,46849,46685,"2WD Crew Cab 147"" Custom",19,22,Gasoline Fuel,Rear Wheel Drive,Automatic,46685,9,,FALSE,MPG,NULL
2023,Chevrolet,Silverado 1500,C23244,TRUE,3GCPABEK9PG174916,Summit White,Jet Black,4,4,Automatic,45284,46220,"2WD Crew Cab 147"" Custom",19,22,Gasoline Fuel,Rear Wheel Drive,Automatic,46220,48,,FALSE,MPG,NULL
2023,Chevrolet,Silverado 1500,C23261,TRUE,3GCPABEK3PG202449,Summit White,Jet Black,4,4,Automatic,54510,56680,"2WD Crew Cab 147"" Custom",19,22,Gasoline Fuel,Rear Wheel Drive,Automatic,56680,5,,FALSE,MPG,NULL
2023,Chevrolet,Silverado 1500,C23169,TRUE,2GCPADED5P1116226,Summit White,Jet Black,4,4,Automatic,56571,58095,"2WD Crew Cab 147"" RST",17,21,Gasoline Fuel,Rear Wheel Drive,Automatic,58095,6,,FALSE,MPG,NULL
2023,Chevrolet,Silverado 1500,C23265,TRUE,3GCPACEDXPG194289,Radiant Red Tintcoat,Jet Black,4,4,Automatic,64197,63630,"2WD Crew Cab 157"" LT",17,21,Gasoline Fuel,Rear Wheel Drive,Automatic,63630,9,,FALSE,MPG,NULL
2023,Chevrolet,Silverado 1500,C23300,TRUE,1GCPABEK8PZ214077,Summit White,Jet Black,4,4,Automatic,45689,46220,"2WD Crew Cab 147"" Custom",19,22,Gasoline Fuel,Rear Wheel Drive,Automatic,46220,2,,FALSE,MPG,NULL
2023,Chevrolet,Silverado 1500,C23274,TRUE,1GCUDEE88PZ203922,Summit White,Jet Black,4,4,Automatic,69435,68755,"4WD Crew Cab 147"" RST",21,23,Diesel Fuel,Four Wheel Drive,Automatic,68755,3,,FALSE,MPG,NULL
2023,Chevrolet,Silverado 1500,C23304,TRUE,1GCUDDE88PZ220388,Sterling Gray Metallic,Jet Black,4,4,Automatic,68253,68420,"4WD Crew Cab 147"" LT w/1LT",21,23,Diesel Fuel,Four Wheel Drive,Automatic,68420,3,,FALSE,MPG,NULL
2020,GMC,Terrain,719870X,FALSE,3GKALPEV2LL268469,Quicksilver Metallic,Jet Black,154,4,Automatic,25971,23196,FWD 4dr SLT,26,30,Gasoline Fuel,Front Wheel Drive,Automatic,27995,64837,"Prior Rental. CARFAX One-Owner. Clean CARFAX. Quicksilver Metallic 2020 GMC Terrain SLT FWD 9-Speed Automatic 1.5L DOHC **CARFAX 1 OWNER **, **CLEAN CARFAX**, Prior Rental, 2 USB Data Ports, 2 USB Data Ports w/SD Card Reader, 6-Speaker Audio System Feature, Automatic temperature control, Bluetooth® For Phone, Exterior Parking Camera Rear, Front dual zone A/C, Preferred Equipment Group 4SA, Radio: GMC Infotainment Audio System w/8 Display, SiriusXM Radio, Telescoping steering wheel, Tilt steering wheel, Wheels: 18 x 7 Machined Aluminum w/Gray Accents.26/30 City/Highway MPGIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.",FALSE,MPG,NULL
2023,Chevrolet,Silverado 1500,C23377,TRUE,3GCPACEDXPG245953,Black,Jet Black,4,4,Automatic,53151,55080,"2WD Crew Cab 157"" LT",17,21,Gasoline Fuel,Rear Wheel Drive,Automatic,55080,10,,FALSE,MPG,NULL
2020,Chevrolet,Bolt EV,719892B,FALSE,1G1FX6S05L4104415,Silver Ice Metallic,Dark Galvanized Gray,NULL,4,,24835,24199,5dr Wgn Premier,0,0,Electric Fuel System,Front Wheel Drive,Automatic,28995,47640,"CARFAX One-Owner. Silver Ice Metallic 2020 Chevrolet Bolt EV Premier FWD 1-Speed Automatic Electric Drive Unit 2 USB Charging-Only Ports For Rear Passengers, All-Weather Cargo Mat (LPO), Apple CarPlay/Android Auto, Auto-dimming Rear-View mirror, Automatic temperature control, Bose Premium 7-Speaker Audio System, Front & Rear All-Weather Floor Mats, Infotainment Package, Interior Protection Package (LPO), Preferred Equipment Group 2LZ, Steering wheel mounted audio controls, Telescoping steering wheel, Tilt steering wheel, Wheels: 17 Ultra-Bright Machined Aluminum, Wireless Charging For Devices.Recent Arrival! 127/108 City/Highway MPGIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.",FALSE,,NULL
2021,Chevrolet,Equinox,719904X,FALSE,2GNAXKEV2M6104977,Silver Ice Metallic,Jet Black,4,4,Automatic,22826,20450,FWD 4dr LT w/1LT,26,31,Gasoline Fuel,Front Wheel Drive,Automatic,24995,63089,"Prior Rental. CARFAX One-Owner. Clean CARFAX. Silver Ice Metallic 2021 Chevrolet Equinox LT FWD 6-Speed Automatic Electronic with Overdrive 1.5L DOHC Prior Rental, 17 Aluminum Wheels, Apple CarPlay/Android Auto, Preferred Equipment Group 1LT, Steering wheel mounted audio controls, Telescoping steering wheel, Tilt steering wheel.26/31 City/Highway MPGAwards:* 2021 IIHS Top Safety Pick with specific headlightsIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.",FALSE,MPG,NULL
2020,Chevrolet,Silverado 1500,719853,FALSE,3GCPWDED9LG125742,Shadow Gray Metallic,Jet Black,4,4,Automatic,45288,43296,"2WD Crew Cab 147"" RST",17,24,Gasoline Fuel,Rear Wheel Drive,Automatic,49995,18952,"CARFAX One-Owner. Clean CARFAX. Shadow Gray Metallic 2020 Chevrolet Silverado 1500 RST RWD 8-Speed Automatic EcoTec3 5.3L V8 10-Way Power Driver Seat w/Lumbar, 12-Volt Rear Auxiliary Power Outlet, 2 USB Ports (First Row), 4.2 Diagonal Color Display Driver Info Center, 4G LTE Wi-Fi Hot Spot Capable, 4-Way Manual Driver Seat Adjuster, 6-Speaker Audio System, All-Star Edition, Bluetooth® For Phone, Body Color Grille, Chevrolet Connected Access Capable, Cloth Rear Seat w/Storage Package, Color-Keyed Carpeting Floor Covering, Compass, Convenience Package, Deep-Tinted Glass, Dual-Zone Automatic Climate Control, Electric Rear-Window Defogger, Electrical Lock Control Steering Column, Front Frame-Mounted Black Recovery Hooks, Front LED Fog Lamps, Front Rubberized Vinyl Floor Mats, Heated Driver & Front Outboard Passenger Seats, Heated Steering Wheel, Heavy-Duty Rear Locking Differential, High Gloss Black Mirror Caps, Hitch Guidance, Keyless Open & Start, Leather Wrapped Steering Wheel, LED Cargo Area Lighting, Manual Tilt/Telescoping Steering Column, Manual Tilt-Wheel Steering Column, OnStar & Chevrolet Connected Services Capable, Power Door Locks, Power Front Windows w/Driver Express Up/Down, Power Front Windows w/Passenger Express Down, Power Rear Windows w/Express Down, Preferred Equipment Group 1SP, Rear 60/40 Folding Bench Seat (Folds Up), Rear Dual USB Charging-Only Ports, Rear Rubberized-Vinyl Floor Mats, Rear Vision Camera, Remote Vehicle Starter System, Single-Zone Manual/Semi-Automatic Air Conditioning, Steering Wheel Audio Controls, Steering Wheel Mounted Electronic Cruise Control, Theft Deterrent System (Unauthorized Entry), Trailering Package, Urethane Steering Wheel.Recent Arrival! Odometer is 20471 miles below market average!If you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.",FALSE,MPG,NULL
2023,Chevrolet,Silverado 1500,C23296,TRUE,1GCPABEK3PZ214049,Summit White,Jet Black,4,4,Automatic,45221,46220,"2WD Crew Cab 147"" Custom",19,22,Gasoline Fuel,Rear Wheel Drive,Automatic,46220,3,,FALSE,MPG,NULL
2023,Chevrolet,Silverado 1500,C23176,TRUE,1GCPABEK7PZ159153,Summit White,Jet Black,4,4,Automatic,48625,46220,"2WD Crew Cab 147"" Custom",19,22,Gasoline Fuel,Rear Wheel Drive,Automatic,46220,5,,FALSE,MPG,NULL
2023,Chevrolet,Silverado 1500,C23293,TRUE,1GCPABEK9PZ213844,Summit White,Jet Black,4,4,Automatic,45221,46220,"2WD Crew Cab 147"" Custom",19,22,Gasoline Fuel,Rear Wheel Drive,Automatic,46220,2,,FALSE,MPG,NULL
2021,Chevrolet,Equinox,719903X,FALSE,3GNAXKEV7MS132842,Silver Ice Metallic,Jet Black,4,4,Automatic,22463,20296,FWD 4dr LT w/1LT,26,31,Gasoline Fuel,Front Wheel Drive,Automatic,27998,66279,"Prior Rental. CARFAX One-Owner. Silver Ice Metallic 2021 Chevrolet Equinox LT FWD 6-Speed Automatic Electronic with Overdrive 1.5L DOHC Prior Rental, 17 Aluminum Wheels, Preferred Equipment Group 1LT, Steering wheel mounted audio controls.26/31 City/Highway MPGAwards:* 2021 IIHS Top Safety Pick with specific headlightsIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.",FALSE,MPG,NULL
2021,Chevrolet,Tahoe,719913X,FALSE,1GNSKNKDXMR260625,Summit White,Jet Black,8,4,Automatic,53119,53996,4WD 4dr LT,16,20,Gasoline Fuel,Four Wheel Drive,Automatic,56995,63879,"Prior Rental. CARFAX One-Owner. Clean CARFAX. Summit White 2021 Chevrolet Tahoe LT 4WD 10-Speed Automatic with Overdrive EcoTec3 5.3L V8 Prior Rental, 10-Way Power Driver & Passenger Seat Adjusters, 1st & 2nd Row Color-Keyed Carpeted Floor Mats, 2 USB Data Ports, Auto-Dimming Inside Rear-View Mirror, Automatic temperature control, Bright Front & Rear Door Sill Plates, Color-Keyed Carpeting Floor Covering, Driver & Front Outboard Passenger Airbags, Floor Console w/Storage Area, Hands-Free Rear Power Programmable Liftgate, HD Radio, Infotainment Display, Leather-Wrapped Steering Wheel, LED Daytime Running Lamps, Memory Settings for Driver, Power Liftgate, Preferred Equipment Group 1LT, Remote Start, SiriusXM Radio w/360L, Telescoping steering wheel, Tilt steering wheel, Universal Home Remote, Wheels: 18 x 8.5 Bright Silver Painted Aluminum.Awards:* JD Power Automotive Performance, Execution and Layout (APEAL) Study * ALG Residual ValueIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.",FALSE,MPG,NULL
2020,Chevrolet,Impala,719921X,FALSE,1G11Z5S35LU107808,Silver Ice Metallic,Jet Black,6,4,Automatic,24400,22996,4dr Sdn LT w/1LT,19,28,Flex Fuel,Front Wheel Drive,Automatic,25995,60835,Prior Rental. CARFAX One-Owner. Clean CARFAX. Silver Ice Metallic 2020 Chevrolet Impala LT FWD 6-Speed Automatic Electronic with Overdrive 3.6L V6 DI DOHCRecent Arrival! 19/28 City/Highway MPGIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.,FALSE,MPG,NULL
2021,Chevrolet,Trailblazer,719931,FALSE,KL79MTSL5MB017565,Summit White,Jet Black with Red accents,3,4,,26175,25901,FWD 4dr RS,29,33,Gasoline Fuel,Front Wheel Drive,Variable,30995,37761,"Clean CARFAX. Summit White 2021 Chevrolet TrailBlazer RS FWD CVT 1.3L Ecotec Turbo DOHC SIDI w/VVT 1 Type-A & 1 Type-C USB Charging-Only Ports, 120-Volt Power Outlet, 8 Diagonal Color Touchscreen Display, Cabin Humidity Sensor, Convenience Package, Driver & Front Passenger Illuminated Vanity Mirrors, Driver Confidence Package, Inside Rear-View Auto-Dimming Mirror, Lane Change Alert w/Side Blind Zone Alert, Preferred Equipment Group 1RS, Rear Cross Traffic Alert, Rear Park Assist, Single-Zone Auto Climate Control Air Conditioning, SiriusXM Radio, Telescoping steering wheel, Tilt steering wheel, Wheels: 18 High Gloss Black Machined Aluminum.Recent Arrival! 29/33 City/Highway MPGAwards:* Ward's 10 Best Engines and Propulsion Systems * 2021 IIHS Top Safety Pick+If you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.",FALSE,MPG,NULL
2023,Chevrolet,Silverado 1500,C23370,TRUE,3GCPACED2PG245347,Black,Jet Black,4,4,Automatic,53151,55080,"2WD Crew Cab 157"" LT",17,21,Gasoline Fuel,Rear Wheel Drive,Automatic,55080,8,,FALSE,MPG,NULL
2023,Chevrolet,Silverado 1500,C23416,TRUE,3GCPACEK2PG252703,Sterling Gray Metallic,Jet Black,4,4,Automatic,49673,51340,"2WD Crew Cab 157"" LT",19,22,Gasoline Fuel,Rear Wheel Drive,Automatic,51340,9,,FALSE,MPG,NULL
2023,Chevrolet,Silverado 1500,C23417,TRUE,3GCPACEK2PG253088,Black,Jet Black,4,4,Automatic,60155,60335,"2WD Crew Cab 157"" LT",19,22,Gasoline Fuel,Rear Wheel Drive,Automatic,60335,8,,FALSE,MPG,NULL
2023,Chevrolet,Silverado 1500,C23420,TRUE,3GCPACEK3PG263452,Black,Jet Black,4,4,Automatic,50496,52235,"2WD Crew Cab 147"" LT",19,22,Gasoline Fuel,Rear Wheel Drive,Automatic,52235,7,,FALSE,MPG,NULL
2023,Chevrolet,Silverado 1500,C23422,TRUE,3GCPACEK5PG252176,Sterling Gray Metallic,Jet Black,4,4,Automatic,49673,51340,"2WD Crew Cab 157"" LT",19,22,Gasoline Fuel,Rear Wheel Drive,Automatic,51340,8,,FALSE,MPG,NULL
2023,Chevrolet,Silverado 1500,C23423,TRUE,3GCPACEK5PG255353,Summit White,Jet Black,4,4,Automatic,49896,51580,"2WD Crew Cab 157"" LT",19,22,Gasoline Fuel,Rear Wheel Drive,Automatic,51580,9,,FALSE,MPG,NULL
2023,Chevrolet,Silverado 1500,C23428,TRUE,3GCPACEK8PG255962,Black,Jet Black,4,4,Automatic,50547,52290,"2WD Crew Cab 147"" LT",19,22,Gasoline Fuel,Rear Wheel Drive,Automatic,52290,9,,FALSE,MPG,NULL
2022,Nissan,Pathfinder,719948,FALSE,5N1DR3DH5NC203489,Gun Metallic,Charcoal,6,4,Automatic,40325,40995,Platinum 2WD,21,26,Gasoline Fuel,Front Wheel Drive,Automatic,44995,31502,"CARFAX One-Owner. Clean CARFAX. Gun Metallic 2022 Nissan Pathfinder Platinum FWD 9-Speed Automatic V6 Automatic temperature control, Cargo Area Protector, Cargo Net, Cargo Package, First Aid Kit, Front dual zone A/C, Navigation system: NissanConnect Navigation, Power Liftgate, Power moonroof, Steering wheel mounted audio controls, Telescoping steering wheel, Tilt steering wheel, Wheels: 20 Alloy w/Unique Finish.Recent Arrival! 21/26 City/Highway MPGIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.",FALSE,MPG,NULL
2023,Chevrolet,Tahoe,C23464,TRUE,1GNSKTKL9PR392470,Black,Jet Black,8,4,Automatic,81263,83900,4WD 4dr High Country,14,19,Gasoline Fuel,Four Wheel Drive,Automatic,83900,2,,FALSE,MPG,NULL
2020,Chevrolet,Colorado,719961X,FALSE,1GCGTCEN6L1203792,Red Hot,Jet Black,6,4,Automatic,30387,31996,"4WD Crew Cab 128"" LT",17,24,Gasoline Fuel,Four Wheel Drive,Automatic,33998,59607,"Prior Rental. CARFAX One-Owner. Red Hot 2020 Chevrolet Colorado LT 4WD 8-Speed Automatic V6 Prior Rental, Apple CarPlay, Exterior Parking Camera Rear, Preferred Equipment Group 4LT, Telescoping steering wheel, Tilt steering wheel, Wheels: 17 x 8 Blade Silver Metallic Cast Alloy.Recent Arrival! Odometer is 2033 miles below market average!Awards:* 2020 KBB.com Best Buy AwardsIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.",FALSE,MPG,NULL
2023,Chevrolet,Equinox,C23438,TRUE,3GNAXWEG6PL254793,Summit White,Jet Black,4,4,Automatic,36165,37015,AWD 4dr RS,24,30,Gasoline Fuel,All Wheel Drive,Automatic,37015,7,,FALSE,MPG,NULL
2023,Chevrolet,Silverado 1500,C23415,TRUE,3GCPACEK1PG263451,Black,Jet Black,4,4,Automatic,50496,52235,"2WD Crew Cab 147"" LT",19,22,Gasoline Fuel,Rear Wheel Drive,Automatic,52235,8,,FALSE,MPG,NULL
2023,Chevrolet,Silverado 1500,C23507,TRUE,3GCPACED6PG318249,Red Hot,Gideon/Very Dark Atmosphere,4,4,Automatic,52551,54435,"2WD Crew Cab 157"" LT",17,21,Gasoline Fuel,Rear Wheel Drive,Automatic,54435,5,,FALSE,MPG,NULL
2023,Chevrolet,Trailblazer,C23523,TRUE,KL79MPS22PB155860,Sterling Gray Metallic,Jet Black,3,4,,26126,29345,FWD 4dr LT,29,31,Gasoline Fuel,Front Wheel Drive,Variable,29345,4,,FALSE,MPG,NULL
2023,Chevrolet,Trailblazer,C23525,TRUE,KL79MPS29PB155743,Sterling Gray Metallic,Jet Black,3,4,,26126,29345,FWD 4dr LT,29,31,Gasoline Fuel,Front Wheel Drive,Variable,29345,4,,FALSE,MPG,NULL
2023,Chevrolet,Trailblazer,C23515,TRUE,KL79MPSL0PB151105,Crimson Metallic,Jet Black,3,4,,26986,30270,FWD 4dr LT,29,33,Gasoline Fuel,Front Wheel Drive,Variable,30270,4,,FALSE,MPG,NULL
2023,Chevrolet,Silverado 1500,C23436,TRUE,3GCPACEK8PG263477,Black,Jet Black,4,4,Automatic,50496,52235,"2WD Crew Cab 147"" LT",19,22,Gasoline Fuel,Rear Wheel Drive,Automatic,52235,8,,FALSE,MPG,NULL
2023,Chevrolet,Equinox,C23505,TRUE,3GNAXHEG5PL272049,Sterling Gray Metallic,Medium Ash Gray,4,4,Automatic,28990,29570,FWD 4dr LS w/1LS,26,31,Gasoline Fuel,Front Wheel Drive,Automatic,29570,4,,FALSE,MPG,NULL
2023,Chevrolet,Silverado 1500,C23517,TRUE,3GCPACED0PG320935,Radiant Red Tintcoat,Jet Black,4,4,Automatic,53011,54930,"2WD Crew Cab 157"" LT",17,21,Gasoline Fuel,Rear Wheel Drive,Automatic,54930,4,,FALSE,MPG,NULL
2020,Nissan,Maxima,719997,FALSE,1N4AA6BV2LC375751,Pearl White Tricoat,Charcoal,6,4,,26035,27595,S 3.5L,20,30,Gasoline Fuel,Front Wheel Drive,Variable,31995,24745,"Clean CARFAX. Pearl White Tricoat 2020 Nissan Maxima 3.5 S FWD CVT with Xtronic 3.5L V6 DOHC 24V 18 Machined Alloy Wheels, Automatic temperature control, Front dual zone A/C, Rear Parking Sensors, Steering wheel mounted audio controls, Telescoping steering wheel, Tilt steering wheel.Recent Arrival! 20/30 City/Highway MPGAwards:* JD Power Automotive Performance, Execution and Layout (APEAL) Study, Initial Quality Study (IQS)If you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.",FALSE,MPG,NULL
2023,Chevrolet,Equinox,C23510,TRUE,3GNAXHEG1PL272016,Sterling Gray Metallic,Medium Ash Gray,4,4,Automatic,28990,29570,FWD 4dr LS w/1LS,26,31,Gasoline Fuel,Front Wheel Drive,Automatic,29570,3,,FALSE,MPG,NULL
